country,country_code,region_wb,income_level,hui_daly_per_work_year,living_wage_usd_year,hui_daly_per_usd,hui_usd_per_usd,unit,capital,pathway,source
Afghanistan,AFG,South Asia,Low income,0.823,5741.170185359439,3.583764169274814e-05,2.130404448067106,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Albania,ALB,Europe & Central Asia,Upper middle income,0.307,8016.729133098806,9.573729974625307e-06,0.569119952071576,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Algeria,DZA,Middle East & North Africa,Lower middle income,0.392,5583.333009673703,1.7552239823453994e-05,1.0434104485450462,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Angola,AGO,Sub-Saharan Africa,Lower middle income,0.696,10313.09280130046,1.6871757420631272e-05,1.0029584916268466,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,0.338,17154.385940313674,4.925853964928044e-06,0.2928223147991125,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Argentina,ARG,Latin America & Caribbean,Upper middle income,0.216,7941.123188541932,6.8000456255250375e-06,0.4042355122549614,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Armenia,ARM,Europe & Central Asia,Upper middle income,0.341,17242.294671759824,4.944237505674122e-06,0.29391514276230385,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Australia,AUS,East Asia & Pacific,High income,0.115,23709.31939961279,1.2126033445088911e-06,0.07208441841767554,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Austria,AUT,Europe & Central Asia,High income,0.105,17751.214910094146,1.4787720239403478e-06,0.08790708173515792,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,0.378,7098.544231587857,1.3312588738897175e-05,0.7913801501724814,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
"Bahamas, The",BHS,Latin America & Caribbean,High income,0.272,17424.003643145457,3.902662177573119e-06,0.23199765580801163,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Bangladesh,BGD,South Asia,Lower middle income,0.603,4936.033204476258,3.0540718377520606e-05,1.81552354467009,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Barbados,BRB,Latin America & Caribbean,High income,0.272,24636.15013834276,2.7601715210432743e-06,0.1640811562399385,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Belarus,BLR,Europe & Central Asia,Upper middle income,0.256,7205.6006823128355,8.881979840639385e-06,0.5279981736066489,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Belgium,BEL,Europe & Central Asia,High income,0.185,18935.238116272212,2.442535959463564e-06,0.14519899264627104,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Belize,BLZ,Latin America & Caribbean,Upper middle income,0.45,14392.598680671419,7.816517537662061e-06,0.4646607015438589,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Benin,BEN,Sub-Saharan Africa,Lower middle income,0.761,8021.373162836333,2.371788422479128e-05,1.4099333456269425,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Bhutan,BTN,South Asia,Lower middle income,0.563,7120.32703646302,1.9767350471294746e-05,1.1750899161165875,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Bolivia,BOL,Latin America & Caribbean,Lower middle income,0.447,6781.712174891298,1.6478139608127976e-05,0.9795594871447757,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,0.334,6218.806334286326,1.3427014046029544e-05,0.7981822769802723,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Botswana,BWA,Sub-Saharan Africa,Upper middle income,0.416,10146.834849809482,1.0249501597234798e-05,0.6092918719492199,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Brazil,BRA,Latin America & Caribbean,Upper middle income,0.361,7447.434814208913,1.2118266524174553e-05,0.7203824717960805,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Brunei Darussalam,BRN,East Asia & Pacific,High income,0.228,12541.937402299718,4.544752391249246e-06,0.2701673506502027,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Bulgaria,BGR,Europe & Central Asia,Upper middle income,0.127,8442.841326446294,3.76058234098828e-06,0.22355157784238927,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Burkina Faso,BFA,Sub-Saharan Africa,Low income,0.931,8114.133541912486,2.8684516812270908e-05,1.7051797864222564,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Burundi,BDI,Sub-Saharan Africa,Low income,0.965,7780.9852127522045,3.100507113220277e-05,1.8431274585249258,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,0.543,10326.299394028585,1.314604533725804e-05,0.7814798111186415,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Cambodia,KHM,East Asia & Pacific,Lower middle income,0.672,9901.37638612647,1.6967338019327987e-05,1.0086403758969715,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,0.729,15099.687583811643,1.2069786145468997e-05,0.71750050720355,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Canada,CAN,North America,High income,0.076,21554.328700633458,8.814934700073314e-07,0.05240126081805582,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Central African Republic,CAF,Sub-Saharan Africa,Low income,1.031,10495.752317574357,2.455755358940938e-05,1.45984833067603,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Chad,TCD,Sub-Saharan Africa,Low income,1.029,10302.19134448688,2.4970415652167524e-05,1.4843913288587507,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Chile,CHL,Latin America & Caribbean,High income,0.206,10086.177401298257,5.105997837532691e-06,0.30353114744996834,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
China,CHN,East Asia & Pacific,Upper middle income,0.369,10882.699610522217,8.476756990591353e-06,0.5039092960626936,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Colombia,COL,Latin America & Caribbean,Upper middle income,0.358,6255.203839155062,1.4308086882759273e-05,0.8505585328325078,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Comoros,COM,East Asia & Pacific,Lower middle income,0.745,9413.570343233665,1.9785266716987327e-05,1.1761549652580285,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,0.88,11542.615905418681,1.9059804276838236e-05,1.1330291250409257,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,0.709,14118.47875417576,1.2554468727558593e-05,0.7463129479784482,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,0.279,14035.710913798037,4.969466842711267e-06,0.295414925931814,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,0.774,9262.962655013083,2.088964483682534e-05,1.2418058269699193,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Croatia,HRV,Europe & Central Asia,High income,0.076,10323.22124721115,1.8405107809864007e-06,0.10941100388651757,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Cuba,CUB,Latin America & Caribbean,Upper middle income,0.328,11294.328816476453,7.2602809190729716e-06,0.43159465951521186,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Cyprus,CYP,Europe & Central Asia,High income,0.139,19416.0307764512,1.7897581848781709e-06,0.10639396505826774,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Czech Republic,CZE,Europe & Central Asia,High income,0.198,14241.389245453047,3.475784500153609e-06,0.20662148539613143,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Denmark,DNK,Europe & Central Asia,High income,0.133,31369.736213701442,1.0599387821908847e-06,0.06300912084611933,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Djibouti,DJI,Middle East & North Africa,Lower middle income,0.8,12458.425007029984,1.605339357801206e-05,0.954310034638505,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Dominica,DMA,Latin America & Caribbean,Upper middle income,0.403,14237.310238825723,7.0764771090855815e-06,0.42066825822670145,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,0.378,10461.705520066054,9.03294398974856e-06,0.5369723884145929,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Ecuador,ECU,Latin America & Caribbean,Upper middle income,0.372,8071.769173602779,1.152163769798314e-05,0.6849152745943058,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,0.467,7252.735141498368,1.6097375365603138e-05,0.9569245759836441,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
El Salvador,SLV,Latin America & Caribbean,Upper middle income,0.529,10983.545369907744,1.2040738718331606e-05,0.7157737538499406,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,0.676,9839.936483158075,1.7174907611371122e-05,1.0209795578655676,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Estonia,EST,Europe & Central Asia,High income,0.154,12966.607407043233,2.969165240484375e-06,0.17650499688583415,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Ethiopia,ETH,Sub-Saharan Africa,Low income,0.871,5372.768156417944,4.052845640471023e-05,2.4092546194344044,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Fiji,FJI,East Asia & Pacific,Upper middle income,0.401,8966.418451345555,1.1180606899397595e-05,0.6646423577415894,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Finland,FIN,Europe & Central Asia,High income,0.137,13932.586360135052,2.4582657601892667e-06,0.14613406638021115,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
France,FRA,Europe & Central Asia,High income,0.105,15154.662736568238,1.7321401641396271e-06,0.10296880419744428,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Gabon,GAB,Sub-Saharan Africa,Upper middle income,0.474,12533.04259362308,9.45500656482998e-06,0.562062320252883,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
"Gambia, The",GMB,Sub-Saharan Africa,Low income,0.851,8077.387063766217,2.6338963122661323e-05,1.5657460017897251,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Georgia,GEO,Europe & Central Asia,Upper middle income,0.276,12152.545853953707,5.67782264138107e-06,0.3375238447395391,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
Germany,DEU,Europe & Central Asia,High income,0.03,16683.49453155513,4.495461059320944e-07,0.026723717813239282,USD/USD,Human Capital,Income / wage impacts,HUI 2023 | VI — Valuing Impact
