country,country_code,region_wb,income_level,hut_daly_per_usd,hut_usd_per_usd,unit,capital,pathway,source
Albania,ALB,Europe & Central Asia,Upper middle income,1.7720257431091075e-05,1.05339842324864,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Algeria,DZA,Middle East & North Africa,Lower middle income,7.89075929469896e-06,0.46907407703267434,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Argentina,ARG,Latin America & Caribbean,Upper middle income,4.0825509440719274e-05,2.4269132342129978,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Armenia,ARM,Europe & Central Asia,Upper middle income,3.831848109974815e-06,0.22778804274556286,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Australia,AUS,East Asia & Pacific,High income,2.6738409066449182e-05,1.589491465364138,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Austria,AUT,Europe & Central Asia,High income,3.617072742748907e-05,2.150205062654515,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1.7654017475623117e-06,0.10494607228558918,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Bahrain,BHR,Middle East & North Africa,High income,6.982949277194908e-06,0.4151084027321285,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Bangladesh,BGD,South Asia,Lower middle income,5.909972129752286e-06,0.3513242032252544,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Barbados,BRB,Latin America & Caribbean,High income,3.406877764426282e-05,2.0252525558408476,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Belarus,BLR,Europe & Central Asia,Upper middle income,6.767760685587728e-06,0.4023163017154481,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Belgium,BEL,Europe & Central Asia,High income,3.061308797531084e-05,1.8198256277803282,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Belize,BLZ,Latin America & Caribbean,Upper middle income,1.744636276116676e-05,1.0371164807003193,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Benin,BEN,Sub-Saharan Africa,Lower middle income,1.5296844325932964e-06,0.0909336207799411,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Bhutan,BTN,South Asia,Lower middle income,6.134313388923845e-06,0.3646603937179669,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Bolivia,BOL,Latin America & Caribbean,Lower middle income,7.304342466716489e-06,0.4342139422764284,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Botswana,BWA,Sub-Saharan Africa,Upper middle income,5.360587834445973e-06,0.3186655044064753,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Brazil,BRA,Latin America & Caribbean,Upper middle income,1.3289588099686689e-05,0.7900128541739749,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Brunei Darussalam,BRN,East Asia & Pacific,High income,2.958111880804851e-06,0.17584791886632517,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Bulgaria,BGR,Europe & Central Asia,Upper middle income,7.484767703545439e-06,0.4449395009049622,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Burkina Faso,BFA,Sub-Saharan Africa,Low income,9.155127361912301e-07,0.05442357011562386,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Burundi,BDI,Sub-Saharan Africa,Low income,1.2139153781518967e-06,0.07216241356961765,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Cambodia,KHM,East Asia & Pacific,Lower middle income,9.531552635614583e-06,0.5666126779767445,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,5.122994568550768e-07,0.030454153512206896,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Canada,CAN,North America,High income,3.424688671094532e-05,2.0358404274188557,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Central African Republic,CAF,Sub-Saharan Africa,Low income,0.0,0.0,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Chad,TCD,Sub-Saharan Africa,Low income,0.0,0.0,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Chile,CHL,Latin America & Caribbean,High income,2.2807505447066702e-05,1.3558149688063272,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
China,CHN,East Asia & Pacific,Upper middle income,3.60117644884822e-06,0.2140755351782313,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Colombia,COL,Latin America & Caribbean,Upper middle income,1.777735344239617e-05,1.0567925527366826,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Comoros,COM,Sub-Saharan Africa,Lower middle income,2.3406531929035283e-06,0.13914246970534314,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,3.3913858597621745e-06,0.20160432381942223,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1.1297101926611195e-06,0.06715675211293291,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,3.2557607647949665e-05,1.9354195442400157,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,3.7792536073891625e-08,0.0022466150994485613,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Croatia,HRV,Europe & Central Asia,High income,2.5725394988753543e-05,1.529271830501443,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Cyprus,CYP,Europe & Central Asia,High income,2.327972279209653e-05,1.3838864010989702,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Czech Republic,CZE,Europe & Central Asia,High income,1.648746812020126e-05,0.9801140298734841,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Denmark,DNK,Europe & Central Asia,High income,2.5705219510629717e-05,1.5280724790288942,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1.3412841908581214e-05,0.7973398000975188,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Ecuador,ECU,Latin America & Caribbean,Upper middle income,5.100143441546843e-06,0.3031831270261936,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,6.295846097554844e-06,0.37426286711524526,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
El Salvador,SLV,Latin America & Caribbean,Upper middle income,2.2678557822100074e-05,1.348149548292561,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Eritrea,ERI,Sub-Saharan Africa,Low income,3.9517819011374516e-07,0.023491762689501695,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Estonia,EST,Europe & Central Asia,High income,1.4319999811244732e-05,0.8512667087792544,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1.0352129039269788e-06,0.06153926628684318,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Finland,FIN,Europe & Central Asia,High income,2.913714901779972e-05,1.732086960512122,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
France,FRA,Europe & Central Asia,High income,4.647694073190193e-05,2.762868218748642,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2.829707713209063e-06,0.16821480471942596,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1.3860297665657398e-06,0.08239392550326696,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Georgia,GEO,Europe & Central Asia,Upper middle income,3.4648657558926038e-06,0.20597240972479172,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Germany,DEU,Europe & Central Asia,High income,4.335027821088295e-05,2.5770006385241477,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1.9048337502657627e-06,0.11323474711829853,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Greece,GRC,Europe & Central Asia,High income,5.3920842848981505e-05,3.2053784240005547,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Guatemala,GTM,Latin America & Caribbean,Upper middle income,1.5402450095628505e-05,0.9156140483847321,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Guinea,GIN,Sub-Saharan Africa,Lower middle income,7.911603437508248e-07,0.04703131779461153,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,8.164271797072844e-07,0.04853333012487923,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Guyana,GUY,Latin America & Caribbean,High income,3.7831077677290143e-06,0.22489062436041898,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Honduras,HND,Latin America & Caribbean,Lower middle income,1.848019201401023e-05,1.0985734944648522,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Hungary,HUN,Europe & Central Asia,High income,1.3876995521772105e-05,0.8249318757872646,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Iceland,ISL,Europe & Central Asia,High income,2.141280651239787e-05,1.2729056959360037,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
India,IND,South Asia,Lower middle income,1.9849109196493784e-06,0.11799501452947694,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Indonesia,IDN,East Asia & Pacific,Upper middle income,2.2655796532844656e-06,0.13467964806914834,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Lower middle income,4.4939936119643295e-06,0.26714994425683153,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Ireland,IRL,Europe & Central Asia,High income,1.6370167624632366e-05,0.9731409846138956,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Israel,ISR,Middle East & North Africa,High income,2.433857316451121e-05,1.4468308203375335,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Italy,ITA,Europe & Central Asia,High income,4.2655751403486494e-05,2.535713797931658,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2.1455592109055715e-05,1.275449128514926,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Japan,JPN,East Asia & Pacific,High income,8.588999987107833e-05,5.105816932336122,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Jordan,JOR,Middle East & North Africa,Lower middle income,9.542280279392095e-06,0.5672503934887425,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,4.140306440700744e-06,0.24612465667389644,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2.496092769143275e-06,0.14838273075449113,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
"Korea, Rep.",KOR,East Asia & Pacific,High income,2.1288698253913396e-05,1.2655279564021358,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Kuwait,KWT,Middle East & North Africa,High income,3.2394965244967295e-06,0.1925751103952326,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2.5159092754028376e-06,0.14956074278559708,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Lao PDR,LAO,East Asia & Pacific,Lower middle income,4.033311881165508e-06,0.23976425808776478,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Latvia,LVA,Europe & Central Asia,High income,7.985715180502199e-06,0.4747188246201337,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Lebanon,LBN,Middle East & North Africa,Lower middle income,2.365528819868475e-05,1.4062122622590139,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Libya,LBY,Middle East & North Africa,Upper middle income,5.618213364427891e-06,0.3339803116617804,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Lithuania,LTU,Europe & Central Asia,High income,1.1604585982457184e-05,0.6898462183131497,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Luxembourg,LUX,Europe & Central Asia,High income,1.597368241102255e-05,0.9495715246056465,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Madagascar,MDG,Sub-Saharan Africa,Low income,2.535044395683183e-06,0.1506982491457825,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
Malawi,MWI,Sub-Saharan Africa,Low income,2.6066110442119793e-06,0.15495260013422532,USD/USD,Social Capital,Tax-funded public expenditure / social costs,HUT 2023 | VI — Valuing Impact
