country,country_code,region,income_group,skill_level,wage_usd_year,unit,capital,pathway,source
Aruba,ABW,Latin America & Caribbean,High income,low,12083.991805959009,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Aruba,ABW,Latin America & Caribbean,High income,medium,25052.412606467125,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Aruba,ABW,Latin America & Caribbean,High income,high,104228.03433588511,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Afghanistan,AFG,South Asia,Low income,low,128.17714816278087,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Afghanistan,AFG,South Asia,Low income,medium,228.39472753749772,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Afghanistan,AFG,South Asia,Low income,high,900.9971041953622,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Angola,AGO,Sub-Saharan Africa,Lower middle income,low,350.7428640738376,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Angola,AGO,Sub-Saharan Africa,Lower middle income,medium,1053.8156640046523,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Angola,AGO,Sub-Saharan Africa,Lower middle income,high,6923.865165910085,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Albania,ALB,Europe & Central Asia,Upper middle income,low,2127.715814003852,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Albania,ALB,Europe & Central Asia,Upper middle income,medium,3885.9964351258627,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Albania,ALB,Europe & Central Asia,Upper middle income,high,9554.517675906609,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Andorra,AND,Europe & Central Asia,High income,low,24031.536510767626,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Andorra,AND,Europe & Central Asia,High income,medium,37566.27924371884,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Andorra,AND,Europe & Central Asia,High income,high,90276.96074139311,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
United Arab Emirates,ARE,Middle East & North Africa,High income,low,11376.894080880498,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
United Arab Emirates,ARE,Middle East & North Africa,High income,medium,18167.369389930198,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
United Arab Emirates,ARE,Middle East & North Africa,High income,high,34482.34070138878,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Argentina,ARG,Latin America & Caribbean,Upper middle income,low,5866.91448806604,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Argentina,ARG,Latin America & Caribbean,Upper middle income,medium,10528.00881091658,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Argentina,ARG,Latin America & Caribbean,Upper middle income,high,32923.82661632252,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Armenia,ARM,Europe & Central Asia,Upper middle income,low,2950.3191707215983,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Armenia,ARM,Europe & Central Asia,Upper middle income,medium,4724.865387797689,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
Armenia,ARM,Europe & Central Asia,Upper middle income,high,10407.76799708431,USD/year,Human Capital,Employment / training income valuation,Wages | VI — Valuing Impact (ILO + World Bank)
