country,country_code,region,income_group,che_per_capita_usd,risk_factor_key,risk_category,risk_factor_label,daly_per_capita,unit,capital,pathway,source
Aruba,ABW,Latin America & Caribbean,High income,0.0,diet_processed_meat,Diet,Diet high in processed meat,0.0,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Aruba,ABW,Latin America & Caribbean,High income,0.0,diet_red_meat,Diet,Diet high in red meat,0.0,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Aruba,ABW,Latin America & Caribbean,High income,0.0,diet_sodium,Diet,Diet high in sodium,0.0,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Aruba,ABW,Latin America & Caribbean,High income,0.0,diet_sugary_beverages,Diet,Diet high in sugar-sweetened beverages,0.0,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Aruba,ABW,Latin America & Caribbean,High income,0.0,diet_trans_fats,Diet,Diet high in trans fats,0.0,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Aruba,ABW,Latin America & Caribbean,High income,0.0,diet_low_vegetables,Diet,Diet low in vegetables,0.0,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Aruba,ABW,Latin America & Caribbean,High income,0.0,diet_low_whole_grains,Diet,Diet low in whole grains,0.0,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Aruba,ABW,Latin America & Caribbean,High income,0.0,diet_risks_total,Diet,Dietary risks — aggregate,0.0,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,wash_handwashing_diarrheal,WASH,No handwashing facility — diarrheal disease,0.0028414218932941997,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,wash_sanitation_diarrheal,WASH,Unsafe sanitation — diarrheal disease,0.00727569502278751,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,wash_water_diarrheal,WASH,Unsafe water source — diarrheal disease,0.010524462566044598,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,wash_handwashing_respiratory,WASH,No handwashing — lower respiratory infections,0.00574038942242162,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,ohs_secondhand_smoke,OHS,Second-hand smoke — all causes,0.00754340745842915,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,ohs_occupational_pm,OHS,Occupational PM/gases/fumes — all causes,0.00038119098770245303,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,ohs_occupational_injuries,OHS,Occupational injuries — all causes,0.0049535052949229,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,diet_processed_meat,Diet,Diet high in processed meat,0.00033897898072255,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,diet_red_meat,Diet,Diet high in red meat,0.0021157523313809303,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,diet_sodium,Diet,Diet high in sodium,0.00114228819753075,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,diet_sugary_beverages,Diet,Diet high in sugar-sweetened beverages,0.000816802927283132,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
Afghanistan,AFG,South Asia,Low income,81.32,diet_trans_fats,Diet,Diet high in trans fats,0.0021760687562972,DALY/capita,Human Capital,Health and well-being,"HEALTH | VI — IHME GBD 2019, Valuing Impact"
