country,country_code,method,year,impact_category,indicator_type,indicator_name,valuation_factor_usd,unit,capital,pathway,source
World,GLO,EF 3.0,2023,Climate change,Social - pollution costs,Global Warming potential (GWP 100),0.1441271146308223,USD/kg CO2-e,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,Acidification,Social - pollution costs,accumulated exceedance (AE),0.14847324639122006,USD/mol H+-Eq,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Ecotoxicity, freshwater",Social - pollution costs,comparative toxic unit for ecosystems (CTUe),0.0019901298183175624,USD/CTUe,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Resource use, fossils",Social - pollution costs,abiotic depletion potential (ADP): fossil fuels,0.009633901465205898,"USD/MJ, net calorific value",Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Eutrophication, freshwater",Social - pollution costs,fraction of nutrients reaching freshwater end compartment (P),1.778094089578555,USD/kg P-Eq,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Eutrophication, marine",Social - pollution costs,fraction of nutrients reaching marine end compartment (N),2.973049794940487,USD/kg N-Eq,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Eutrophication, terrestrial",Social - pollution costs,accumulated exceedance (AE),0.29730497949404866,USD/mol N-Eq,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Human toxicity, cancer",Social - pollution costs,comparative toxic unit for human (CTUh),696012.5,USD/CTUh,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Human toxicity, non-cancer",Social - pollution costs,comparative toxic unit for human (CTUh),150338.7,USD/CTUh,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Ionising radiation, human health",Social - pollution costs,human exposure efficiency relative to u235,0.0005034984042553191,USD/kBq U235-Eq,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,Land use,Social - pollution costs,soil quality index,0.001534781823020121,USD/dimensionless,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Resource use, minerals and metals",Social - pollution costs,abiotic depletion potential (ADP): elements (ultimate reserves),0.12814402538341416,USD/kg Sb-Eq,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,Ozone depletion,Social - pollution costs,ozone depletion potential (ODP),29.566611,USD/kg CFC-11-Eq,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,Particulate matter,Social - pollution costs,impact on human health,55681.0,USD/disease incidence,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,"Photochemical ozone formation, human health",Social - pollution costs,tropospheric ozone concentration increase,1.2451312841103794,USD/kg NMVOC-Eq,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,EF 3.0,2023,Water use,Social - pollution costs,user deprivation potential (deprivation-weighted water consumption),0.00045747412863026186,USD/m3 world eq. deprived,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,LANCA v2.0,2016,Land use,Pasture meadow,,791.7368538166387,USD/ha,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,LANCA v2.0,2016,Land use,Permanent crops,,962.257974391574,USD/ha,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,LANCA v2.0,2016,Land use,Arable land,,962.257974391574,USD/ha,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
World,GLO,Valuing Impact,2015,Water,Avoided costs,Water depletion,0.12938555317439226,USD/m3,Natural Capital,Environmental externalities (LCA),"NatCap | VI — CE Delft, WRI, Valuing Impact (2023 USD)"
