ref_code,activity_name,geography,ref_product,ref_unit,ref_amount,impact_category,cf_unit,characterization_factor,method,database,capital,pathway,source
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,terrestrial acidification potential (TAP),kg SO2-Eq,0.0004213493366920099,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,global warming potential (GWP100),kg CO2-Eq,0.08959499008818865,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,freshwater ecotoxicity potential (FETP),"kg 1,4-DCB-Eq",0.03702187586377398,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,marine ecotoxicity potential (METP),"kg 1,4-DCB-Eq",0.04658584790237682,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,terrestrial ecotoxicity potential (TETP),"kg 1,4-DCB-Eq",1.67818138316737,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,fossil fuel potential (FFP),kg oil-Eq,0.02678463459199919,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,freshwater eutrophication potential (FEP),kg P-Eq,3.656037068734609e-05,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,marine eutrophication potential (MEP),kg N-Eq,1.239612878874411e-05,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,human toxicity potential (HTPc),"kg 1,4-DCB-Eq",0.02555917465370739,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,human toxicity potential (HTPnc),"kg 1,4-DCB-Eq",0.3962070815106224,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,ionising radiation potential (IRP),kBq Co-60-Eq,0.5299115735325111,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,agricultural land occupation (LOP),m2*a crop-Eq,0.00455261712977926,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,surplus ore potential (SOP),kg Cu-Eq,0.002763321417681022,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,ozone depletion potential (ODPinfinite),kg CFC-11-Eq,9.323440724536715e-08,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,particulate matter formation potential (PMFP),kg PM2.5-Eq,0.0001578375328869976,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,photochemical oxidant formation potential: humans (HOFP),kg NOx-Eq,0.0002188879514456305,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,photochemical oxidant formation potential: ecosystems (EOFP),kg NOx-Eq,0.0002289770070975107,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,water consumption potential (WCP),m3,0.003340870779892716,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
703d3314-190b-58e7-b9c8-0b911459cc2b_d69294d7-8d64-4915-a896-9996a014c410,Electricity low-voltage,FR,"electricity, low voltage",kWh,1,total water extraction,m3,0.04307672641917289,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,terrestrial acidification potential (TAP),kg SO2-Eq,0.0005402600906709746,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,global warming potential (GWP100),kg CO2-Eq,0.3115002119114992,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,freshwater ecotoxicity potential (FETP),"kg 1,4-DCB-Eq",0.02438392039486672,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,marine ecotoxicity potential (METP),"kg 1,4-DCB-Eq",0.0364756523697129,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
c15a040a-8bf4-59a6-8463-c320ad3081ba_ab08966c-085c-4cdf-9c2b-c137eee358c0,"market for transport, passenger car, small size, petrol, EURO 5",GLO,"transport, passenger car, small size, petrol, EURO 5",km,1,terrestrial ecotoxicity potential (TETP),"kg 1,4-DCB-Eq",5.760360159351099,"ReCiPe 2016 v1.03, midpoint (H)",Ecoinvent 3.10,Natural Capital,Environmental externalities (LCA characterization),"LCA | DB — Ecoinvent 3.10, ReCiPe 2016 (H), Valuing Impact"
